paper_id,title,first_author,publication_year,journal,doi,abstract_or_summary,source_api,is_open_access,has_abstract,has_fulltext,document_type,retrieval_query,retrieval_date,screening_status,screening_notes,normalized_title,dedup_key_doi,dedup_key_title_year,duplicate_resolution_basis,master_screening_bucket,non_target_flag,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,journal_metrics_notes,needs_manual_journal_check,relevance_score,extractability_score,journal_quality_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,exclude_reason,priority_rationale,final_priority_label,priority_rank
paper_0220,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",Enrico Tusini,2024.0,ACS Catalysis,10.1021/acscatal.3c05847,"Ni-based catalysts are the most widely used materials to produce H<sub>2</sub> in large-scale methane steam reformers under stationary conditions. For domestic applications such as fuel cells, H<sub>2</sub> production involves the exposure of the catalysts to more dynamic conditions due to the daily startup and shutdown operation mode, making Ni-based catalysts susceptible to oxidation and deactivation. In this context, we report a systematic investigation of the structural changes occurring for monometallic Ni/MgAlO<sub><i>x</i></sub> and bimetallic NiPt/MgAlO<sub><i>x</i></sub> catalysts during methane steam reforming under transient conditions, comprising catalyst activation, operation, and deactivation processes. Besides extensive catalytic tests, the samples prepared by incipient wetness impregnation were characterized by complementary methods, including N<sub>2</sub>-physisorption, X-ray diffraction, H<sub>2</sub>-temperature-programmed reduction, and electron microscopy. Next, the structure of the Ni and Pt species was monitored under reaction conditions using time and spatially resolved <i>in situ</i>/<i>operando</i> X-ray absorption spectroscopy. The results obtained show that before catalyst activation by H<sub>2</sub>-reduction, nickel diffuses into the support lattice and forms mixed oxides with magnesium. In the activated catalysts, Ni is present in the metallic state or alloyed with Pt. A clear beneficial effect of the noble metal addition was identified on both the activity and stability of the bimetallic NiPt/MgAlO<sub><i>x</i></sub> catalyst. In contrast, the pronounced oxidation and reincorporation of Ni into the support lattice were observed for the monometallic sample, and these catalyst deactivation effects are hindered in the bimetallic Ni-Pt catalyst. Overall, the outcome of our study not only helps in understanding the catalyst activation/deactivation processes at an atomic level but also provides the basis for the rational development of improved methane steam reforming catalysts.",openalex,yes,yes,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,structural changes of ni and ni pt methane steam reforming catalysts during activation reaction and deactivation under dynamic reaction conditions,10.1021/acscatal.3c05847,structural changes of ni and ni pt methane steam reforming catalysts during activation reaction and deactivation under dynamic reaction conditions::2024.0,,candidate,no,2025.0,13.1,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/accacs/about.html,no,95,100,100,98.5,yes,yes,yes,,期刊IF>=10，最高优先；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,top_priority,1
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",Yi Lin,2025.0,Fuel Processing Technology,10.1016/j.fuproc.2025.108325,"Ni-based catalysts supported on composite metal oxides (NiO-Al 2 O 3 , MgO-Al 2 O 3 , Co 3 O 4 -Al 2 O 3 ) were synthesized via coprecipitation followed by Ni impregnation to investigate the influence of support composition on catalyst stability in methane steam reforming. Accelerated deactivation protocols (methane decomposition, high-temperature sintering, hydrothermal oxidation) revealed hydrothermal oxidation as the primary cause of irreversible deactivation. The 10Ni/NiAl catalyst (10 wt% Ni/10 wt% NiO-Al 2 O 3 ) showed remarkable regenerability after 923 K hydrothermal treatment, fully restoring its activity. This was attributed to coexisting reduced Ni species and readily reducible NiO, facilitating rapid reactivation. Other catalysts formed thermally stable NiAl 2 O 4 , leading to permanent deactivation. Methane cracking at 973 K had negligible effect, and 10Ni/NiAl catalyst exhibited the lowest carbon deposition (17.02 %). Under extreme hydrogen purged at 1223 K, only the 10Ni/CoAl catalyst exhibited a minor activity decline. The superior stability of 10Ni/NiAl was attributed to an in situ-formed NiAl composite metal oxides during 973 K calcination, which effectively anchored Ni particles, suppressed sintering, and prevented extensive oxidation. • The stability of Ni-based catalysts is significantly influenced by composite metal oxide supports. • Hydrothermal oxidation is the primary cause of catalyst deactivation. • 10Ni/CoAl catalyst is the most affected by forced sintering at 1223 K • 10Ni/NiAl catalyst shows exceptional activity and stability for 300 h in methane steam reforming. • 10Ni/NiAl catalyst recovers its activity after multiple start-up/shut-down cycles without inert gas protection.",crossref;openalex,yes,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,support effect in ni based catalysts for methane steam reforming role of mxoy al2o3 m ni mg co supports for enhanced catalyst stability,10.1016/j.fuproc.2025.108325,support effect in ni based catalysts for methane steam reforming role of mxoy al2o3 m ni mg co supports for enhanced catalyst stability::2025.0,,candidate,no,2025.0,7.7,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel-processing-technology,no,95,100,85,91.0,yes,yes,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,top_priority,2
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,Kyungpyo Hong,2021.0,Journal of Materials Chemistry A,10.1039/d0ta11359j,"Ni–Rh and Ni–Co nano-scale alloys exhibit high methane conversion, hydrogen yield, resistance to carbon formation, and long-term stability at low temperatures, allowing them to cope with the various operating conditions of direct methane-fueled PCFCs.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ni based bimetallic nano catalysts anchored on bazr sub 0 4 sub ce sub 0 4 sub y sub 0 1 sub yb sub 0 1 sub o sub 3 sub for internal steam reforming of methane in a low temperature proton conducting ceramic fuel cell,10.1039/d0ta11359j,ni based bimetallic nano catalysts anchored on bazr sub 0 4 sub ce sub 0 4 sub y sub 0 1 sub yb sub 0 1 sub o sub 3 sub for internal steam reforming of methane in a low temperature proton conducting ceramic fuel cell::2021.0,,candidate,no,2025.0,9.5,,manual_lookup,Official RSC journal page surfaced via search on 2026-04-27; https://pubs.rsc.org/en/journals/journal/jmta,no,95,100,85,91.0,yes,yes,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,top_priority,3
paper_0101,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,D. Hari Prasad,2010.0,Applied Catalysis B: Environmental,10.1016/j.apcatb.2010.10.026,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,effect of nickel nano particle sintering on methane reforming activity of ni cgo cermet anodes for internal steam reforming sofcs,10.1016/j.apcatb.2010.10.026,effect of nickel nano particle sintering on methane reforming activity of ni cgo cermet anodes for internal steam reforming sofcs::2010.0,,candidate,no,2025.0,21.1,,manual_lookup,Current official ScienceDirect journal title is Applied Catalysis B: Environment and Energy; metric captured on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy,no,85,65,100,88.5,yes,no,yes,,期刊IF>=10，最高优先；存在Ni-based信号；更可能包含性能字段,top_priority,4
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,Vinod Kumar Jaiswar,2017.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.06.096,,openalex,no,no,yes,journal_article,steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,effect of pt doping on activity and stability of ni mgal2o4 catalyst for steam reforming of methane at ambient and high pressure condition,10.1016/j.ijhydene.2017.06.096,effect of pt doping on activity and stability of ni mgal2o4 catalyst for steam reforming of methane at ambient and high pressure condition::2017.0,,candidate,no,2025.0,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no,95,85,85,88.0,yes,yes,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,top_priority,5
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,Sanjay Katheria,2016.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.05.109,,openalex,no,no,yes,journal_article,methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,effect of calcination temperature on stability and activity of ni mgal2o4 catalyst for steam reforming of methane at high pressure condition,10.1016/j.ijhydene.2016.05.109,effect of calcination temperature on stability and activity of ni mgal2o4 catalyst for steam reforming of methane at high pressure condition::2016.0,,candidate,no,2025.0,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no,95,85,85,88.0,yes,yes,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,top_priority,6
paper_0180,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,Young Su Noh,2019.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2019.04.287,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified sic,10.1016/j.ijhydene.2019.04.287,hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified sic::2019.0,,candidate,no,2025.0,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no,95,65,85,84.0,yes,no,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含性能字段,top_priority,7
paper_0150,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Na Young Kim,2015.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.06.104,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,hydrogen production by steam reforming of methane over mixed ni mgal crfe 3 o 4 catalysts,10.1016/j.ijhydene.2015.06.104,hydrogen production by steam reforming of methane over mixed ni mgal crfe 3 o 4 catalysts::2015.0,,candidate,no,2025.0,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no,95,65,85,84.0,yes,no,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含性能字段,top_priority,8
paper_0157,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Xia Yang,2016.0,Fuel,10.1016/j.fuel.2016.03.104,,openalex,no,no,yes,journal_article,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,characterization and performance evaluation of ni based catalysts with ce promoter for methane and hydrocarbons steam reforming process,10.1016/j.fuel.2016.03.104,characterization and performance evaluation of ni based catalysts with ce promoter for methane and hydrocarbons steam reforming process::2016.0,,candidate,no,2025.0,7.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel,no,85,65,85,81.0,yes,no,yes,,期刊IF>=6，高优先；存在Ni-based信号；更可能包含性能字段,top_priority,9
paper_0124,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,Yu Guo,2011.0,Chemical Engineering Journal,10.1016/j.cej.2011.01.036,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,10.1016/j.cej.2011.01.036,thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane::2011.0,,candidate,no,2025.0,13.2,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/chemical-engineering-journal,no,75,65,100,85.5,no,no,yes,,期刊IF>=10，最高优先；更可能包含性能字段,medium_priority,10
